"Andorra","AD","AND","020","EUR",2017,,,,,,,,,,,,,,,,,,,,8,,3,,8,3,,3,,4,,0,3,1,
"Benin","BJ","BEN","204","AFR",2017,,,,,,,,,,,,,,,,,,,,73,71,6,6,1,1,1,1,1,1,1,1,1,1,1
"Botswana","BW","BWA","072","AFR",2017,,,,,,,,,,,,,,,,,,,,48,48,34,34,1,1,1,1,1,1,1,1,27,1,1
"Brazil","BR","BRA","076","AMR",2017,,,,,,,,,,,,,,,,,,,,2107,716,155,0,363,37,0,2,0,3,0,0,155,1,0
"Cameroon","CM","CMR","120","AFR",2017,,,,,,,,,,,,,,,,,,,,253,253,17,17,3,2,2,2,2,2,2,1,17,2,2
"Central African Republic","CF","CAF","140","AFR",2017,,,,,,,,,,,,,,,,,,,,75,73,1,1,1,1,1,1,1,1,1,0,1,1,1
"Chad","TD","TCD","148","AFR",2017,,,,,,,,,,,,,,,,,,,,102,32,6,6,1,0,0,0,0,0,0,0,0,0,0
"China","CN","CHN","156","WPR",2017,,,,,,,,,,,,,,,,,,,,4215,3300,1076,671,2182,587,429,426,426,325,88,0,,0,0
"Congo","CG","COG","178","AFR",2017,,,,,,,,,,,,,,,,,,,,38,38,1,1,0,0,0,0,0,0,0,0,1,0,0
"Czechia","CZ","CZE","203","EUR",2017,,,,,,,,,,,,,,,,,,,,38,38,12,0,38,17,17,6,1,3,1,1,12,2,1
"Democratic Republic of the Congo","CD","COD","180","AFR",2017,,,,,,,,,,,,,,,,,,,,1875,1875,76,76,4,0,0,1,1,0,0,1,0,2,2
"Denmark","DK","DNK","208","EUR",2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ethiopia","ET","ETH","231","AFR",2017,,,,,,,,,,,,,,,,,,,,3154,2562,153,88,8,,,1,,,,1,0,10,
"Germany","DE","DEU","276","EUR",2017,,,,,,,,,,,,,,,,,,,,150,150,37,37,140,50,50,7,7,,,0,,,
"Ghana","GH","GHA","288","AFR",2017,,,,,,,,,,,,,,,,,,,,305,225,103,103,5,3,1,0,0,4,1,1,6,0,0
"Guatemala","GT","GTM","320","AMR",2017,,,,,,,,,,,,,,,,,,,,285,270,15,0,7,1,1,1,1,3,0,0,7,1,0
